Month,Northland,Auckland,Waikato,Bay of Plenty,Gisborne,Hawke's Bay,Taranaki,Manawatu-Wanganui,Wellington,Tasman,Nelson,Marlborough,West Coast,Canterbury,Otago,Southland
1/03/2000," 2,854 "," 40,539 "," 9,224 "," 5,837 ", 968 ," 3,640 "," 3,861 "," 5,096 "," 17,223 "," 2,042 "," 2,042 "," 1,005 ", 695 ," 13,129 "," 4,584 "," 2,532 "
1/03/2001," 3,171 "," 41,705 "," 10,426 "," 6,273 "," 1,014 "," 3,910 "," 4,697 "," 5,437 "," 17,447 "," 2,184 "," 2,184 "," 1,100 ", 788 ," 13,794 "," 4,945 "," 2,948 "
1/03/2002," 3,420 "," 44,888 "," 11,366 "," 6,693 "," 1,058 "," 4,165 "," 4,801 "," 5,816 "," 18,698 "," 2,380 "," 2,380 "," 1,218 ", 830 ," 14,800 "," 5,396 "," 3,182 "
1/03/2003," 3,317 "," 49,260 "," 10,957 "," 6,893 "," 1,085 "," 4,401 "," 4,672 "," 5,848 "," 19,573 "," 2,475 "," 2,475 "," 1,249 ", 801 ," 15,794 "," 5,755 "," 3,102 "
1/03/2004," 3,570 "," 53,178 "," 11,882 "," 7,332 "," 1,098 "," 4,702 "," 4,656 "," 6,224 "," 20,478 "," 2,671 "," 2,671 "," 1,374 ", 881 ," 17,064 "," 6,171 "," 3,223 "
1/03/2005," 3,942 "," 57,355 "," 12,570 "," 7,862 "," 1,156 "," 5,055 "," 4,690 "," 6,620 "," 21,505 "," 2,867 "," 2,867 "," 1,455 ", 929 ," 18,671 "," 6,678 "," 3,202 "
1/03/2006," 4,278 "," 60,175 "," 13,492 "," 8,261 "," 1,172 "," 5,190 "," 4,867 "," 7,103 "," 22,846 "," 2,860 "," 2,860 "," 1,541 "," 1,080 "," 19,697 "," 6,968 "," 3,410 "
1/03/2007," 4,706 "," 62,296 "," 14,969 "," 9,036 "," 1,287 "," 5,376 "," 5,746 "," 7,264 "," 23,578 "," 3,102 "," 3,102 "," 1,706 "," 1,164 "," 20,941 "," 7,305 "," 3,637 "
1/03/2008," 4,993 "," 66,880 "," 15,871 "," 9,798 "," 1,331 "," 5,272 "," 8,294 "," 7,866 "," 25,359 "," 3,302 "," 3,302 "," 1,923 "," 1,359 "," 22,580 "," 7,843 "," 4,175 "
1/03/2009," 5,102 "," 66,010 "," 16,716 "," 9,694 "," 1,409 "," 5,486 "," 8,585 "," 7,769 "," 26,098 "," 3,401 "," 3,401 "," 1,991 "," 1,498 "," 23,288 "," 8,122 "," 4,451 "
1/03/2010," 4,897 "," 68,468 "," 16,369 "," 10,085 "," 1,449 "," 5,577 "," 8,233 "," 8,139 "," 27,258 "," 3,530 "," 3,530 "," 1,928 "," 1,457 "," 23,896 "," 8,440 "," 4,526 "
1/03/2011," 5,250 "," 71,360 "," 17,362 "," 10,745 "," 1,533 "," 5,929 "," 8,662 "," 8,550 "," 28,011 "," 3,702 "," 3,702 "," 1,962 "," 1,553 "," 25,094 "," 8,775 "," 4,945 "
1/03/2012," 5,365 "," 75,288 "," 18,570 "," 11,208 "," 1,583 "," 6,082 "," 8,653 "," 8,654 "," 29,697 "," 3,786 "," 3,786 "," 2,090 "," 1,660 "," 26,459 "," 9,098 "," 5,045 "
1/03/2013," 5,331 "," 77,756 "," 18,115 "," 11,408 "," 1,587 "," 6,254 "," 8,736 "," 8,630 "," 30,147 "," 3,882 "," 3,882 "," 2,186 "," 1,592 "," 27,695 "," 9,312 "," 4,842 "
1/03/2014," 5,796 "," 81,993 "," 20,122 "," 11,906 "," 1,639 "," 6,591 "," 9,200 "," 9,167 "," 31,488 "," 4,170 "," 4,170 "," 2,423 "," 1,704 "," 30,635 "," 9,992 "," 5,498 "
1/03/2015," 5,971 "," 88,252 "," 20,146 "," 12,137 "," 1,715 "," 6,648 "," 9,065 "," 9,289 "," 32,841 "," 4,282 "," 4,282 "," 2,553 "," 1,615 "," 31,995 "," 10,238 "," 5,181 "
1/03/2016," 6,207 "," 93,541 "," 20,940 "," 13,071 "," 1,759 "," 6,817 "," 8,292 "," 9,584 "," 34,019 "," 4,404 "," 4,404 "," 2,596 "," 1,570 "," 33,108 "," 10,731 "," 5,129 "
,,,,,,,,,,,,,,,,
